question_id	document_title	paragraph_index
1	Tibet	10
4	BeiDou_Navigation_Satellite_System	1
7	Beyoncé	64
10	Roman_Republic	27
13	Chihuahua_(state)	39
16	Oklahoma	2
19	Xbox_360	1
22	Neptune	18
25	Royal_Dutch_Shell	0
28	New_Delhi	30
31	Digestion	9
34	New_York_City	82
37	Federal_Bureau_of_Investigation	42
40	Chihuahua_(state)	5
43	Middle_Ages	0
46	Richard_Feynman	19
49	Pub	26
52	BeiDou_Navigation_Satellite_System	12
55	IPod	28
58	Windows_8	17
61	Gramophone_record	25
64	Russian_Soviet_Federative_Socialist_Republic	2
67	Tuvalu	46
70	Pub	1
73	The_Blitz	7
76	Compact_disc	15
79	Child_labour	1
82	George_VI	13
85	Dutch_language	9
88	New_York_City	18
91	European_Central_Bank	11
94	Catalan_language	0
97	Infection	2
100	Qing_dynasty	0
103	Military_history_of_the_United_States	32
106	History_of_science	37
109	Sino-Tibetan_relations_during_the_Ming_dynasty	22
112	Queen_Victoria	33
115	Military_history_of_the_United_States	0
118	Nigeria	10
121	Zinc	36
124	Montana	15
127	Capacitor	12
130	Bird	2
133	Richmond,_Virginia	13
136	Hunter-gatherer	15
139	Athanasius_of_Alexandria	10
142	Animal	15
145	Tibet	11
148	Somerset	2
151	American_Idol	10
154	Planck_constant	11
157	Textual_criticism	0
160	North_Carolina	60
163	Montana	10
166	New_York_City	79
169	Muammar_Gaddafi	34
172	The_Blitz	4
175	Unicode	17
178	New_Haven,_Connecticut	39
181	The_Bronx	15
184	Russian_Soviet_Federative_Socialist_Republic	16
187	Catalan_language	75
190	Cotton	24
193	Carnival	6
196	Pacific_War	61
199	San_Diego	39
202	Identity_(social_science)	0
205	Alexander_Graham_Bell	43
208	Portugal	93
211	Hanover	19
214	Utrecht	22
217	Neoclassical_architecture	19
220	Oklahoma	15
223	Sony_Music_Entertainment	27
226	Saint_Helena	38
229	Crucifixion_of_Jesus	8
232	North_Carolina	20
235	List_of_numbered_streets_in_Manhattan	7
238	George_VI	1
241	USB	30
244	British_Isles	25
247	To_Kill_a_Mockingbird	28
250	John_Kerry	3
253	Modern_history	7
256	University	11
259	Planck_constant	21
262	Immunology	14
265	Dog	36
268	Jehovah%27s_Witnesses	11
271	Mexico_City	2
274	2008_Sichuan_earthquake	74
277	Raleigh,_North_Carolina	24
280	Humanism	10
283	Mexico_City	7
286	Saint_Helena	8
289	Steven_Spielberg	46
292	North_Carolina	30
295	Biodiversity	27
298	Cyprus	2
